isbn,genre,cover,title,authors,publisher,year,preco_medio,collection,volume,pages,type,preco_correto
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_17.jpg,One piece 3 em 1 17,Eichiro Oda,Panini,2024,31.37,One Piece,17,900,Collection,no
0,Teoria da literatura/linguística,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/the_dictionary_of_imaginary_places.jpg,The dictionary of imaginary places,Alberto Manguel,Harper Collins,1999,96.61,No collection,0,755,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/calvin_e_haroldo__os_dias_estao_simplesmente_lotados.jpg,Calvin e Haroldo: Os dias estão simplesmente lotados,Bill Watterson,Best,1995,47.49,Calvin e Haroldo,2,79,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/divina_comedia.jpg,Divina Comédia 1 - Mangá,Go Nagai,New Pop,2000,45.0,Divina Comédia,1,358,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/divina_comedia_2_-_manga.jpg,Divina Comédia 2 - Mangá,Go Nagai,New Pop,2000,45.0,Divina Comédia,2,408,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/nausicaa_1.jpg,Nausicaa 1,Hayao Miyazaki,JBC,2022,52.25,Nausicaa,1,132,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/nausicaa_2.jpg,Nausicaa 2,Hayao Miyazaki,JBC,2022,32.0,Nausicaa,2,132,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/nausicaa_3.jpg,Nausicaa 3,Hayao Miyazaki,JBC,2022,58.5,Nausicaa,3,132,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/nausicaa_4.jpg,Nausicaa 4,Hayao Miyazaki,JBC,2022,43.25,Nausicaa,4,132,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/nausicaa_5.jpg,Nausicaa 5,Hayao Miyazaki,JBC,2022,44.13,Nausicaa,5,132,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/diario_dos_gatos.jpg,Diário dos gatos,Junji Ito,JBC,2022,34.27,No collection,0,109,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/lady_snowblood_1.jpg,Lady Snowblood 1,Kazuo Koike,Panini,2021,42.73,Lady Snowblood,1,280,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/lady_snowblood_2.jpg,Lady Snowblood 2,Kazuo Koike,Panini,2020,22.97,Lady Snowblood,2,280,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/lady_snowblood_3.jpg,Lady Snowblood 3,Kazuo Koike,Panini,2020,39.46,Lady Snowblood,3,280,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/lady_snowblood_4.jpg,Lady Snowblood 4,Kazuo Koike,Panini,2020,70.35,Lady Snowblood,4,280,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gen_pes_descalcos_1.jpg,Gen Pés Descalços 1,Keiji Nakazawa,Conrad,2020,22.19,Gen Pés Descalços,1,270,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gen_pes_descalcos_2.jpg,Gen Pés Descalços 2,Keiji Nakazawa,Conrad,2020,25.54,Gen Pés Descalços,2,270,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gen_pes_descalcos_3.jpg,Gen Pés Descalços 3,Keiji Nakazawa,Conrad,2020,25.91,Gen Pés Descalços,3,270,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gen_pes_descalcos_4.jpg,Gen Pés Descalços 4,Keiji Nakazawa,Conrad,2020,20.44,Gen Pés Descalços,4,270,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gen_pes_descalcos_5.jpg,Gen Pés Descalços 5,Keiji Nakazawa,Conrad,2020,22.95,Gen Pés Descalços,5,270,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gen_pes_descalcos_6.jpg,Gen Pés Descalços 6,Keiji Nakazawa,Conrad,2020,18.43,Gen Pés Descalços,6,270,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gen_pes_descalcos_7.jpg,Gen Pés Descalços 7,Keiji Nakazawa,Conrad,2020,15.96,Gen Pés Descalços,7,270,Collection,no
